Wavelength,RI_Water,RI_Water_etching,RI_B,RI_B_etching,RI_C,RI_C_etching,RI_D,RI_D_etching,RI_E,RI_E_etching
1.200,-7.7615937565,-0.7502934369,-8.0987092984,-0.8231904808,-8.5573840634,-1.4549508535,-9.1103585014,-7.4462729963,-9.4744204815,-4.0894801120
1.204,-6.8465623787,-1.9248396542,-7.0193964209,-0.5743088759,-7.3528139054,-1.3776105615,-7.9947337803,-4.0232397881,-9.0422664766,-6.2083015463
1.208,-6.7066797015,-4.3717705258,-6.7051083664,-1.0187595223,-6.8292532225,-0.9644966036,-7.2462429863,-2.1378575601,-8.3591918349,-7.6809485510
1.212,-7.4687198288,-7.1708745457,-7.1231954077,-2.5599824864,-6.8188028090,-0.6174495973,-6.6843254470,-1.4153261610,-7.1915901743,-8.8638325049
1.216,-8.7063730856,-8.7222394743,-8.1022014584,-5.2720201884,-7.4596506938,-0.8054683143,-6.8763456381,-1.3623437972,-6.7578847846,-10.5811176783
1.220,-11.5929208675,-9.1444649199,-10.7095564684,-7.8432804337,-9.5758285653,-1.9135596049,-8.2084448709,-1.2167328112,-6.9021670402,-11.0843099984
1.224,-13.4996160082,-9.3815308563,-12.7502616559,-8.8952653780,-11.5774566106,-4.1951269092,-9.8278907890,-0.8026382670,-7.6383238856,-7.4491602710
1.228,-15.3119214802,-7.5634172518,-14.8969588079,-9.1645954386,-14.2759291777,-7.1072995546,-12.9195141160,-0.6739326647,-9.8636550478,-4.0482682837
1.232,-16.6264514291,-4.3155182663,-15.9774033509,-9.1023407047,-15.3244257089,-8.7243711076,-14.4776767273,-1.1992486690,-11.9139199371,-2.1675720051
1.236,-19.4460816133,-1.9870185955,-18.7521281793,-6.7391445528,-17.5140789636,-9.0459463176,-16.0635202293,-2.7558355029,-14.5896161327,-1.3082249832
1.240,-18.7884977826,-0.9154221290,-19.5319793463,-3.6709063102,-19.4508941990,-9.0894852211,-17.7820089589,-5.4025778546,-15.6052141845,-1.1273390459
1.244,-15.2406999526,-0.7490262657,-16.2017810997,-1.7015050492,-17.7917604538,-8.1611303566,-19.7490798045,-8.2077801303,-17.7772968297,-1.2642079319
1.248,-13.8718724977,-1.0103827676,-14.3772209161,-0.7975934805,-15.3884263951,-4.9785029421,-17.5429601739,-8.9825687830,-19.4761002177,-1.0794147288
1.253,-13.0528401672,-1.0863634906,-13.1358372596,-0.7450825798,-13.4139635024,-2.4721361069,-14.3533363397,-8.9562977485,-17.9007489985,-0.8010147565
1.257,-13.0918049181,-1.0984400702,-13.0955440715,-1.0451181018,-13.1284574611,-1.0855253097,-13.4363147776,-8.6770809624,-15.4816743611,-0.9828230700
1.261,-12.8132288716,-1.6585635316,-12.9606618435,-1.0997968021,-13.0570018601,-0.6518107031,-13.0756326548,-7.1400780085,-13.5277432893,-1.9306662680
1.265,-12.2533636526,-3.2193493889,-12.5234179702,-1.1508471557,-12.8216603232,-0.8456202829,-13.0401357060,-4.3368757656,-13.1074224873,-3.7681742797
1.269,-11.4156175141,-6.1640862978,-11.6175572844,-1.8146098049,-11.9862093989,-1.1227470831,-12.5613609846,-2.0537367693,-13.0335165211,-6.7297307763
1.273,-11.2478897414,-9.1649604848,-11.2477318566,-3.4880351401,-11.4167787977,-1.1263605693,-11.9339570610,-0.9069577616,-12.8398596869,-9.0698079942
1.277,-11.5744562640,-8.8678525892,-11.3435279152,-6.5164133224,-11.2035039251,-1.3625751509,-11.3824315313,-0.5857335541,-12.3516751478,-9.0343460887
1.281,-12.6128554386,-7.4560128514,-12.2852970244,-9.3093875197,-11.7894560041,-2.3475987854,-11.2623069468,-0.8216484197,-11.4326166855,-8.4891061227
1.285,-12.8416684852,-6.3201389562,-12.8278546902,-8.7419607186,-12.5119602932,-4.4138184902,-11.7762274497,-1.1551979265,-11.1339825444,-7.8429994217
1.289,-11.7070876461,-4.8203085874,-12.2400988504,-7.4274714123,-12.7626324215,-7.8828551692,-12.8440529093,-1.2488818181,-11.5928664324,-6.4732006379
1.293,-10.4170233322,-2.6586305449,-11.0258760826,-6.1568995056,-11.8120606699,-9.5023788466,-12.6697993139,-1.4356382882,-12.3171236715,-4.1170690911
1.297,-8.6348143685,-0.9969483057,-9.1732543571,-4.6368714934,-9.9729528766,-8.1601854886,-11.2022195314,-2.3973019624,-12.7391061940,-2.0087782577
1.301,-7.4263941392,-0.2913460795,-7.7069749268,-2.6163682330,-8.2570183667,-6.8186919221,-9.3255399174,-4.3425678438,-11.4425676094,-0.8165282567
1.305,-7.3129580633,-0.3759580912,-7.2039952001,-0.9890535434,-7.2753846034,-5.6627559986,-7.8187236486,-7.4938211609,-9.6147884687,-0.4327205621
1.309,-7.8622963659,-0.9638939674,-7.5167333366,-0.2850546751,-7.2337892141,-4.0920009261,-7.2688284704,-9.6310012312,-8.4859961242,-0.6139620899
1.313,-9.3018945492,-1.5331099633,-8.7919293247,-0.3499394331,-8.1236585096,-2.1933194860,-7.3953472850,-8.3043492305,-7.3580018874,-1.0466481903
1.317,-10.1940367774,-1.9354964064,-9.7957544016,-0.9308614397,-9.1274181566,-0.7499156983,-8.1018215592,-6.7434473079,-7.1662607007,-1.4057821900
1.321,-10.8186226325,-2.7706063259,-10.7050218948,-1.5304967956,-10.4101672297,-0.2151333929,-9.5901832024,-5.6466006703,-7.8120673969,-1.6027372143
1.325,-10.9801877099,-4.6951946312,-10.9058171044,-1.9416766713,-10.8088939791,-0.4015040508,-10.4195156972,-4.3121434439,-8.7534073110,-2.0807347172
1.329,-11.7301698327,-7.6738541031,-11.3391434829,-2.6857918902,-11.0582843490,-1.0084757262,-10.9129735943,-2.6374557526,-10.2219256900,-3.3844445241
1.333,-13.1771155315,-9.3553088787,-12.3102525169,-4.4013659767,-11.5613944370,-1.6323760726,-11.0768833122,-1.1100850350,-10.7977786863,-5.6519027716
1.337,-15.8346203293,-7.1348393100,-14.2480393343,-7.2815540496,-12.7508905162,-2.0668459825,-11.5407082348,-0.2667834682,-11.0108999862,-8.7253273967
1.341,-23.6942403846,-5.2737416978,-20.3467076507,-9.6384241585,-16.8752870616,-2.8780492488,-13.6573887890,-0.2250939152,-11.4358913475,-9.9328811376
1.345,-25.1553859431,-4.0120478445,-27.6185379055,-7.4281011883,-25.9531659101,-4.6129687921,-18.9270868680,-0.7141596561,-13.0128297796,-7.5164448969
1.349,-20.9340349953,-2.9456391604,-22.8647391144,-5.3359414553,-26.1951249586,-7.3656127050,-25.3131679002,-1.4118395101,-15.3561983995,-5.8060254598
1.354,-16.0042363168,-1.6543036348,-17.6914404142,-4.1234555814,-19.9445246478,-9.2844480521,-23.7601047604,-1.9881284228,-22.5192021911,-4.8766645861
1.358,-13.1406561895,-0.4932533422,-14.6260342067,-3.1101545146,-16.8575335131,-7.3766679535,-20.1055759691,-2.5068226580,-27.0942522088,-3.7976224380
1.362,-10.1530431945,-0.0299267027,-10.9914338107,-1.9119102015,-12.5416638827,-5.2212671153,-15.5796151891,-3.5785382555,-20.9566572692,-2.4922375207
1.366,-9.1319815428,-0.3509315039,-9.5644354357,-0.7087379411,-10.4973455688,-4.0033660942,-12.7466149636,-5.7415143724,-18.0691068531,-1.1816146701
1.370,-8.5973147272,-1.1998994202,-8.6875627573,-0.0651935103,-8.9500862826,-3.0789488812,-9.9086144030,-8.4105758946,-13.9239610424,-0.3095001116
1.374,-8.4977362573,-2.1739984418,-8.5361632166,-0.1878315580,-8.6170340767,-1.9904217004,-8.9880983256,-8.8122237506,-11.5377508513,-0.0491269215
1.378,-8.5276001416,-2.9674498308,-8.4629009654,-0.9424742557,-8.4747433010,-0.8321689363,-8.5365951336,-6.3986177926,-9.2898313995,-0.4428903446
