Wavelength,RI_Water,RI_Water_etching,RI_B,RI_B_etching,RI_C,RI_C_etching,RI_D,RI_D_etching,RI_E,RI_E_etching,RI_F,RI_F_etching
1,-9.361447966,-10.42388828,-9.192890315,-14.95283314,-8.973457763,-10.53675486,-8.650039628,-2.39293468,-8.416954479,-1.884139622,-8.117871584,-1.389524532
1.000600601,-9.486131666,-10.11453344,-9.307570736,-13.99240947,-9.084335215,-11.83741775,-8.762513956,-2.602390452,-8.530021287,-1.829360724,-8.218789929,-1.513307036
1.001201201,-9.623586025,-9.814872581,-9.429038303,-13.15974242,-9.196358891,-13.28726312,-8.87644549,-2.837825249,-8.643172964,-1.788504583,-8.325761198,-1.634925903
1.001801802,-9.773875118,-9.526610738,-9.559431975,-12.43548988,-9.311152479,-14.86713634,-8.988132193,-3.102391867,-8.756938961,-1.766100277,-8.437301052,-1.75095646
1.002402402,-9.94647601,-9.265313325,-9.701449928,-11.81896653,-9.432695967,-16.52110658,-9.099501662,-3.394682468,-8.869218734,-1.766443001,-8.550513457,-1.858726376
1.003003003,-10.13914462,-9.018799052,-9.863709811,-11.30809906,-9.564372595,-17.98408125,-9.212822797,-3.726224331,-8.983752064,-1.795164586,-8.66607847,-1.956358353
1.003603604,-10.36030159,-8.771633246,-10.04460081,-10.88203804,-9.707905027,-18.77906135,-9.328843239,-4.101089385,-9.096485583,-1.851955956,-8.781568644,-2.041095143
1.004204204,-10.61410785,-8.511199872,-10.2511929,-10.51672457,-9.868625857,-18.52736698,-9.451672325,-4.530245881,-9.210331168,-1.931136309,-8.896843758,-2.108937069
1.004804805,-10.90508872,-8.216945527,-10.48811642,-10.20708562,-10.05010912,-17.48938591,-9.585189422,-5.016814289,-9.326899666,-2.029758314,-9.010883819,-2.153959407
1.005405405,-11.31677956,-7.949773586,-10.8281284,-9.994499602,-10.31258705,-16.44011707,-9.776817522,-5.592187292,-9.493583452,-2.160876865,-9.166928177,-2.216518719
1.006006006,-11.70324513,-7.601361921,-11.14574402,-9.711912687,-10.55368137,-15.22670189,-9.941685845,-6.213198579,-9.628038444,-2.311076937,-9.283580462,-2.209183398
1.006606607,-12.13952392,-7.238137062,-11.50683711,-9.436473852,-10.82999274,-14.19170241,-10.12570548,-6.90164974,-9.77365917,-2.494296643,-9.403735074,-2.177720222
1.007207207,-12.56841521,-6.780548586,-11.86852683,-9.076143759,-11.10515755,-13.17649225,-10.3036572,-7.65368107,-9.902764472,-2.70679416,-9.496470594,-2.092183005
1.007807808,-13.10079918,-6.380441031,-12.32259424,-8.826450574,-11.46025923,-12.46049909,-10.54288783,-8.523243064,-10.08536372,-2.961273703,-9.63286474,-2.038356583
1.008408408,-13.68544125,-5.950291115,-12.82937743,-8.581441975,-11.86200502,-11.83732213,-10.81699268,-9.517423254,-10.29131427,-3.245177586,-9.77967552,-1.984839044
1.009009009,-14.3131179,-5.497987791,-13.38762198,-8.320245128,-12.31197817,-11.30117901,-11.13005193,-10.67241707,-10.52652827,-3.555452369,-9.944272505,-1.937432563
1.00960961,-14.97061975,-5.027836315,-13.99321569,-8.027240869,-12.81709137,-10.85493465,-11.48323458,-11.99182899,-10.79654374,-3.898110668,-10.12999587,-1.90042029
1.01021021,-15.62919341,-4.54945061,-14.63893997,-7.704893737,-13.37002631,-10.47898906,-11.88530589,-13.47900482,-11.10179138,-4.280861519,-10.33819093,-1.872875675
1.010810811,-16.24200224,-4.078294909,-15.29880111,-7.353181195,-13.9743084,-10.1557254,-12.33524919,-15.10741927,-11.45093098,-4.709747014,-10.57935792,-1.856274781
1.011411411,-16.74800062,-3.625434782,-15.94497196,-6.985206064,-14.61576099,-9.877112904,-12.83970412,-16.77866313,-11.84507975,-5.196666261,-10.84997077,-1.852125365
1.012012012,-17.07059214,-3.194188451,-16.51633482,-6.604195247,-15.27875809,-9.615090492,-13.3937592,-18.2357838,-12.28703337,-5.751359363,-11.16048671,-1.870337875
1.012612613,-17.14573288,-2.785203876,-16.94748765,-6.206131066,-15.92597061,-9.355527737,-13.9943691,-19.00412211,-12.78150218,-6.373264726,-11.51195684,-1.917035506
1.013213213,-16.94846047,-2.399708689,-17.15570065,-5.783478652,-16.50398649,-9.096870027,-14.63528385,-18.75613547,-13.32659465,-7.079562793,-11.90894332,-1.998272479
1.013813814,-16.64921233,-2.020065921,-17.30563313,-5.358882929,-17.1952828,-8.911212865,-15.49898449,-18.10456288,-14.07194482,-7.885836558,-12.45240438,-2.112093041
1.014414414,-16.00132989,-1.692800678,-16.94485671,-4.891658603,-17.40863482,-8.648561262,-16.16800615,-16.68846908,-14.72591993,-8.782572454,-12.96310166,-2.251680174
1.015015015,-15.26751242,-1.405715055,-16.36937484,-4.41628163,-17.33672457,-8.390245893,-16.76359223,-15.35272443,-15.40780925,-9.793932723,-13.52585439,-2.418390293
1.015615616,-14.40041569,-1.15541323,-15.5190321,-3.91854909,-16.77473836,-8.040072268,-16.98559665,-14.02358812,-15.9162565,-10.88147758,-14.04556048,-2.602750122
1.016216216,-13.6820402,-0.946811277,-14.79215881,-3.473415703,-16.23647097,-7.750107719,-17.18704281,-13.10273891,-16.49711052,-12.18182765,-14.68028524,-2.819678281
1.016816817,-12.99910421,-0.771533312,-14.06087913,-3.05238866,-15.57091869,-7.428577944,-17.11823799,-12.36426189,-16.94030119,-13.68281116,-15.33319089,-3.065486759
1.017417417,-12.36869942,-0.623790252,-13.35687349,-2.658784379,-14.84506383,-7.074892268,-16.79064813,-11.75570995,-17.17471432,-15.38098969,-15.97333135,-3.34439624
1.018018018,-11.79202822,-0.503864726,-12.69392661,-2.288361891,-14.11005581,-6.695307056,-16.25504633,-11.24318866,-17.14680409,-17.15095615,-16.53957609,-3.661069587
1.018618619,-11.27424881,-0.412615519,-12.08662166,-1.942499611,-13.39968864,-6.30697926,-15.58927742,-10.80321948,-16.85613529,-18.65043526,-16.96522664,-4.016968783
1.019219219,-10.81233546,-0.349341183,-11.53735239,-1.627885544,-12.73453064,-5.908879954,-14.86284361,-10.40889136,-16.34793386,-19.30055961,-17.17853308,-4.416559292
1.01981982,-10.40474636,-0.314050389,-11.04441073,-1.348314467,-12.1217863,-5.495885231,-14.12580665,-10.056798,-15.697375,-18.8581915,-17.13271172,-4.859861145
1.02042042,-10.05201757,-0.308063988,-10.60768756,-1.105153449,-11.56559961,-5.064616971,-13.4151705,-9.755981318,-14.97722877,-17.74032777,-16.82429857,-5.348892497
1.021021021,-9.747683779,-0.3259013,-10.2248306,-0.90250832,-11.06816207,-4.621975699,-12.74698509,-9.498918669,-14.24101411,-16.41431506,-16.30531525,-5.887583458
1.021621622,-9.48460839,-0.374228864,-9.882373129,-0.725184014,-10.61299045,-4.179791151,-12.12704434,-9.350735203,-13.54272916,-15.37194251,-15.74788983,-6.463411926
1.022222222,-9.275148733,-0.429132871,-9.60314153,-0.587138249,-10.22796479,-3.728106718,-11.5644889,-9.123445521,-12.85604504,-14.19697169,-14.99360225,-7.129201955
1.022822823,-9.109315128,-0.495969747,-9.371233218,-0.477250029,-9.894042822,-3.294539645,-11.06222089,-8.88733952,-12.22425349,-13.2044049,-14.23429325,-7.887450397
1.023423423,-8.961319962,-0.56533765,-9.162581002,-0.390863803,-9.5906416,-2.862016418,-10.58735463,-8.541635222,-11.60585273,-12.26383592,-13.42083953,-8.73472036
1.024024024,-8.868586554,-0.664093048,-9.014344621,-0.332307196,-9.354203949,-2.481712505,-10.20272418,-8.279951478,-11.10167502,-11.61234014,-12.75365009,-9.730429508
1.024624625,-8.807452065,-0.781665901,-8.901856293,-0.301948663,-9.163057888,-2.133149251,-9.870862883,-8.010306885,-10.6530429,-11.08788556,-12.13665987,-10.8705493
