MMF Diameter,surrounding environment,Wavelength,Transmission,Spectral width,Prominence
125 µm,1.33,1.344144144,-2.277176043471459,0.01359992376077976,3.0599100738540326
125 µm,1.33,1.1003003,-4.401993335710409,0.034051608906287924,5.2415937597172215
125 µm,1.33,1.174174174,-0.9303733007115004,0.011665076769876059,1.7527792008661338
25 µm,1.33,1.051051051,-4.213810007379968,0.006534539774407556,4.337817502350556
25 µm,1.33,1.108108108,-3.3227571203793262,0.010646006884028036,4.456624863347958
25 µm,1.33,1.165765766,-2.4168061548357107,0.01655509097097765,3.519646803363175
125 µm,1.35,1.345345345,-2.2642911776135333,0.013684017380106203,3.047817111371084
125 µm,1.35,1.101501502,-4.44197816414216,0.03406109983167121,5.279664633372031
125 µm,1.35,1.174774775,-0.9413836767465115,0.01160856785358152,1.762640414862612
25 µm,1.35,1.055855856,-4.236527306437374,0.007039439405609551,4.625562233932656
25 µm,1.35,1.114114114,-3.4809821814630824,0.010281847155612214,4.64304473434121
25 µm,1.35,1.172972973,-2.297465804068765,0.01772963935803273,3.424396665445691
125 µm,1.37,1.347747748,-2.2453205717506264,0.013884590134708209,3.0314215312847725
125 µm,1.37,1.103303303,-4.271676690940843,0.03451204136972868,5.108817493282035
125 µm,1.37,1.176576577,-0.8926049505131184,0.011988091712822202,1.7141654594654265
25 µm,1.37,1.062462462,-4.377244761999615,0.007398695902142058,5.050906165829392
25 µm,1.37,1.121921922,-3.4641829813121623,0.010485062473291633,4.650622899760412
25 µm,1.37,1.181381381,-2.246649667300982,0.01840888929031544,3.3891923052114166
125 µm,1.39,1.351351351,-2.1931624165021306,0.014132775872499207,2.9848268388053496
125 µm,1.39,1.105105105,-4.622921267284583,0.03394025338349024,5.460848620538002
125 µm,1.39,1.178978979,-0.8874068068888716,0.011974503756206893,1.711068220285971
25 µm,1.39,1.073273273,-4.225749609334759,0.008994091484672088,5.291052857989618
25 µm,1.39,1.133333333,-3.293284398738467,0.011446929649076712,4.428888773729685
25 µm,1.39,1.194594595,-2.1981026408903346,0.01972306704877289,3.279341882775072
125 µm,1.40,1.353753754,-2.1689424032014246,0.014257767864703749,2.963648359844447
125 µm,1.40,1.106906907,-4.243033855516515,0.03486857384655499,5.083504185583437
125 µm,1.40,1.180780781,-0.8833972630635711,0.012184874571684982,1.709430397433139
25 µm,1.40,1.08048048,-4.370404477006731,0.008751907142775307,5.420545399732379
25 µm,1.40,1.142342342,-3.2573755657217562,0.011721031135741916,4.366755122760285
25 µm,1.40,1.204804805,-2.1146641273207116,0.020816964048836813,3.1603524064451243
125 µm,1.41,1.357357357,-2.114664365294529,0.014422310282598636,2.871621994592016
125 µm,1.41,1.183183183,-0.9296123044043795,0.011828571137975327,1.7619457551309412
125 µm,1.41,1.108708709,-4.171595301765895,0.03520873948180243,5.015824676463756
25 µm,1.41,1.091291291,-4.177853475296309,0.009645690053337508,5.310408060166123
25 µm,1.41,1.154354354,-3.197844483390942,0.012160008684316206,4.374120251124324
25 µm,1.41,1.218618619,-2.005238260371664,0.022307103281366536,3.1095577332896807
